Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Score_Confianca
2025-02-04 13:30:00;2025-Q1;414.83;414.83;411.98;411.98;29;-0.69;-4.48;5.12;5.3;Neutro;100
2023-12-18 10:05:00;2023-Q4;187.52;187.52;185.62;185.62;61;-1.01;-3.48;6.15;7.2;Baixa;100
2024-03-12 11:00:00;2024-Q1;190.28;192.32;190.28;192.32;58;1.07;7.11;12.52;9.7;Alta;100
2023-04-24 10:50:00;2023-Q2;180.01;182.73;180.01;181.57;23;0.87;4.54;11.34;5.2;Alta;100
2024-03-13 14:25:00;2024-Q1;187.51;187.72;187.21;187.72;83;0.11;1.1;4.42;12.1;Neutro;100
2024-03-15 12:00:00;2024-Q1;188.53;189.34;188.53;189.34;59;0.43;3.42;4.9;8.6;Neutro;100
2025-12-01 10:15:00;2025-Q4;464.0;464.35;461.0;461.05;30;-0.64;-3.85;6.6;3.9;Neutro;100
2024-11-18 11:10:00;2024-Q4;317.21;317.43;314.83;314.83;14;-0.75;-4.16;6.58;4.4;Neutro;100
2022-05-25 12:15:00;2022-Q2;205.82;207.89;205.82;207.62;52;0.87;4.22;6.57;6.9;Alta;100
2024-11-12 11:40:00;2024-Q4;279.04;282.98;279.04;282.98;41;1.41;6.95;10.91;6.0;Alta;100
2021-11-12 10:35:00;2021-Q4;197.55;199.42;197.51;199.42;95;0.95;4.65;5.6;5.2;Alta;100
2021-11-12 11:20:00;2021-Q4;200.35;202.14;200.2;201.6;86;0.62;3.32;5.87;6.9;Neutro;100
2021-11-12 11:45:00;2021-Q4;202.38;203.16;200.98;203.16;29;0.39;2.53;7.94;4.5;Neutro;100
2024-03-07 10:05:00;2024-Q1;193.21;195.55;193.21;194.87;54;0.86;4.69;7.03;3.1;Alta;100
2022-05-19 11:00:00;2022-Q2;206.47;208.27;206.47;208.27;17;0.87;5.11;6.51;3.3;Alta;100
2022-12-02 11:40:00;2022-Q4;154.55;154.55;153.14;153.14;15;-0.91;-5.31;8.48;4.3;Baixa;100
2022-12-02 12:25:00;2022-Q4;154.14;155.26;154.14;154.96;14;0.53;3.79;7.24;3.4;Neutro;100
2022-03-18 13:45:00;2022-Q1;207.35;208.62;207.35;208.5;41;0.55;4.71;7.3;6.6;Neutro;100
2023-12-06 10:00:00;2023-Q4;175.37;175.65;174.32;174.32;36;-0.6;-3.66;6.09;4.5;Neutro;100
2022-02-16 10:05:00;2022-Q1;236.94;238.1;236.94;238.1;10;0.49;5.52;7.58;2.2;Neutro;100
2022-02-14 09:40:00;2022-Q1;235.46;236.86;235.46;236.86;18;0.59;4.99;6.43;2.9;Neutro;100
2022-03-28 10:00:00;2022-Q1;207.89;207.89;206.74;206.74;19;-0.55;-4.15;6.23;3.9;Neutro;100
2022-03-22 14:25:00;2022-Q1;213.91;213.91;211.99;211.99;32;-0.9;-5.77;9.34;4.6;Baixa;100
2025-01-21 14:15:00;2025-Q1;357.16;357.51;355.32;355.32;37;-0.52;-3.86;5.06;5.6;Neutro;100
2022-11-07 12:30:00;2022-Q4;154.78;154.78;152.64;153.02;75;-1.14;-5.03;6.74;8.3;Baixa;100
2024-04-30 12:40:00;2024-Q2;228.06;228.06;223.93;225.08;86;-1.31;-6.0;10.52;4.9;Baixa;100
2022-11-25 12:10:00;2022-Q4;152.43;153.77;152.43;153.55;26;0.73;3.95;6.33;6.7;Neutro;100
2022-11-28 10:45:00;2022-Q4;149.85;149.85;148.77;149.07;31;-0.52;-3.46;5.24;6.5;Neutro;100
2025-08-27 10:40:00;2025-Q3;448.53;454.43;448.53;454.43;31;1.32;5.3;6.26;2.9;Alta;100
2024-09-25 11:10:00;2024-Q3;274.36;274.36;272.32;273.01;43;-0.49;-3.76;7.13;5.4;Neutro;100
2024-05-13 12:20:00;2024-Q2;206.62;206.62;204.02;204.02;38;-1.26;-4.82;6.18;4.0;Baixa;100
2024-05-13 13:20:00;2024-Q2;202.96;202.96;200.83;201.26;36;-0.84;-3.99;5.95;6.2;Baixa;100
2025-02-14 14:45:00;2025-Q1;439.01;439.01;433.27;433.27;16;-1.31;-5.31;8.55;2.7;Baixa;100
2023-12-01 13:15:00;2023-Q4;180.98;180.98;178.76;178.76;21;-1.23;-6.49;9.96;4.8;Baixa;100
2023-07-14 11:35:00;2023-Q3;147.74;148.67;147.74;148.67;38;0.63;4.14;5.11;7.5;Neutro;100
2021-03-02 11:15:00;2021-Q1;130.11;130.11;129.62;129.62;10;-0.38;-3.33;7.01;4.0;Neutro;100
2021-03-04 12:15:00;2021-Q1;127.81;127.81;127.07;127.07;24;-0.58;-4.43;8.05;5.7;Neutro;100
2023-07-11 11:40:00;2023-Q3;145.25;146.26;145.1;146.26;41;0.7;4.01;6.87;6.4;Neutro;100
2025-02-14 14:50:00;2025-Q1;432.92;433.19;429.51;429.51;24;-0.79;-3.88;6.04;4.7;Neutro;100
2021-08-09 11:45:00;2021-Q3;175.03;176.51;175.03;176.51;16;0.85;4.71;6.33;3.4;Alta;100
2024-05-07 10:10:00;2024-Q2;200.06;201.34;199.98;200.83;38;0.38;3.02;6.55;6.3;Neutro;100
2021-08-31 15:40:00;2021-Q3;188.24;188.24;183.29;186.44;4;-0.96;-3.77;13.04;0.4;Baixa;100
2021-09-01 10:15:00;2021-Q3;190.15;190.23;187.88;187.88;18;-1.19;-6.05;9.37;3.4;Baixa;100
2022-10-10 10:05:00;2022-Q4;196.34;197.03;195.31;195.31;29;-0.52;-3.46;7.63;5.5;Neutro;100
