noticia,neutro_dia,dia,neutro_semana,semana,neutro_mes,mes
"Preços do café oscilam forte nesta 4ª feira (3), mas passam a recuar moderadamente no início da tarde",0,1,0,0,0,0
"Café/Cepea: Preços oscilam com força em novembro, mas dentro de patamar do mês anterior",0,1,0,0,0,0
"Mercado cafeeiro consolida mais um fechamento com quedas, com robusta recuando em mais de 2% nesta 3ª feira (02)",0,1,0,0,0,0
"Após secas, temperaturas acima de 30°C na fase reprodutiva afetam desenvolvimento fisiológico dos cafezais",0,0,0,0,0,0
"De olho no clima, mercado cafeeiro mantém volatilidade nas bolsas internacionais na manhã desta 3ª feira (02)",0,0,0,0,0,0
Perspectiva de melhor oferta global com adiamento da EUDR mantém preços do café em queda no fechamento desta 2ª feira (01),0,0,0,0,0,0
"Fundamentos seguem pressionando o mercado cafeeiro, que mantém a volatilidade na manhã desta 2ª feira (01)",0,1,0,0,0,0
"Estimativa do Valor Bruto de Produção dos Cafés do Brasil para o ano-cafeeiro 2025 atinge R$ 114,86 bilhões",0,0,0,0,0,0
Café: Valorização do real consolida ganhos moderados nas bolsas internacionais no fechamento desta 6ª feira (28),0,0,0,0,0,0
Região do Cerrado Mineiro leva cafés premiados ao mercado com leilão on-line nos dias 3 e 4 de dezembro,0,0,0,0,0,0
Preços do arábica operavam em campo misto em NY no início da tarde desta 6ª feira (28),0,0,0,0,0,0
"De olho no clima do Vietnã, preços do café robusta seguem voláteis na manhã desta 6ª feira (28)",0,0,0,0,0,0
Clima adverso no Vietnã consolida altas moderadas do café robusta no fechamento desta 5ª feira (27),0,0,0,0,0,0
Mercado de café do Vietnã lida com suprimentos ainda limitados,1,1,0,0,0,0
Preços do café robusta trabalhavam em campo misto em Londres na manhã desta 5ª feira (27),0,1,0,0,0,0
Aprovação do Parlamento Europeu para adiamento da EUDR derruba os preços do café no fechamento desta 4ª feira (26),0,1,0,0,0,0
Preços do café seguem pressionados pelo clima e realizavam lucros na manhã desta 4ª feira (26),0,0,0,0,0,0
Café/Cepea: Retirada de tarifas de 40% pelos EUA deve favorecer exportação brasileira,0,1,0,0,0,0
"Café sobe forte em Londres e NY nesta 3ª feira, com clima adverso no Vietnã e no Brasil",0,1,0,0,0,0
Cooxupé é eleita campeã em Sustentabilidade no Prêmio Melhores do Agronegócio 2025,1,0,0,0,0,0
Preços do café se consolidam em lados opostos nas bolsas internacionais no fechamento desta 2ª feira (24),0,1,0,1,0,0
Média de embarques e faturamento do café torrado se mantém em baixa na 3ª semana de novembro/25,0,1,0,1,0,0
Cecafé enaltece sustentabilidade da cafeicultura brasileira na COP30,0,1,0,1,0,0
Mercado cafeeiro inicia semana volátil e trabalhava em campo misto nas bolsas na manhã desta 2ª feira (24),0,1,0,1,0,0
Retirada das tarifas dos EUA sobre café  brasileiro derruba futuros em NY e Londres nesta 6ª feira,0,1,0,1,0,0
Indústria Brasileira de Café Solúvel mantém a luta pela reversão de tarifas nos EUA diante da exclusão do produto das isenções recentemente anunciadas,0,1,0,1,0,0
BSCA: Retirada das taxas sobre exportações dos cafés especiais aos EUA corrige distorções do mercado,0,1,0,1,0,0
Saca de café do Cerrado Mineiro é vendida por R$ 200 mil e quebra recorde nacional,0,1,0,1,0,0
Cecafé: Trabalho de representação continua junto ao governo brasileiro e contrapartes dos EUA,0,1,0,1,0,0
"Com queda da taxação, preços do café trabalhavam com baixas de mais de 4% na manhã desta 6ª feira (21)",0,1,0,1,0,0
Preços globais do café despencam após Trump remover tarifas sobre café brasileiro,0,0,0,1,0,0
"Após retirada das tarifas, Cecafé trabalha para retomada dos blends e para isenção também do solúvel",0,0,0,1,0,0
