noticia,data_hora,neutro_dia,dia,neutro_semana,semana,neutro_mes,mes,std_var_1d,std_var_7d,std_var_30d,volatilidade_momento,preco_ref,preco_1d,preco_7d,preco_30d
"Preços do café oscilam forte nesta 4ª feira (3), mas passam a recuar moderadamente no início da tarde",2025-12-03 14:18:00,0,1,0,0,0,0,7.280507755764351,-2.417421562458581,-24.424331381823848,0.0026616776853837444,459.95,468.95,457.0,431.0
"Café/Cepea: Preços oscilam com força em novembro, mas dentro de patamar do mês anterior",2025-12-03 08:23:00,0,1,0,0,0,0,2.2659803365279028,-6.055564012697928,-31.087491525507716,0.002672301134819725,461.0,463.8,453.6,424.25
"Mercado cafeeiro consolida mais um fechamento com quedas, com robusta recuando em mais de 2% nesta 3ª feira (02)",2025-12-02 17:15:00,0,1,0,0,0,0,2.2659803365279028,-6.055564012697928,-31.087491525507716,0.002672301134819725,461.0,463.8,453.6,424.25
"Após secas, temperaturas acima de 30°C na fase reprodutiva afetam desenvolvimento fisiológico dos cafezais",2025-12-02 12:18:00,0,0,0,0,0,0,-2.248123946916759,-7.467695766612215,-34.741508813953125,0.002726442637514479,466.4,463.55,457.0,424.25
"De olho no clima, mercado cafeeiro mantém volatilidade nas bolsas internacionais na manhã desta 3ª feira (02)",2025-12-02 09:57:00,0,0,0,0,0,0,-7.337976044969034,-10.945616275420333,-37.22354759995572,0.002779774137143814,470.5,461.0,456.4,424.25
Perspectiva de melhor oferta global com adiamento da EUDR mantém preços do café em queda no fechamento desta 2ª feira (01),2025-12-01 17:18:00,0,0,0,0,0,0,-4.304297835827642,-7.074378089254588,-34.8220200932054,0.0028215543911706983,468.05,462.4,458.8,424.25
"Fundamentos seguem pressionando o mercado cafeeiro, que mantém a volatilidade na manhã desta 2ª feira (01)",2025-12-01 09:58:00,1,1,0,0,0,0,1.407540176584334,-3.2816581315872546,-33.60724272800168,0.0028821917577223784,467.4,469.3,463.0,424.25
"Estimativa do Valor Bruto de Produção dos Cafés do Brasil para o ano-cafeeiro 2025 atinge R$ 114,86 bilhões",2025-12-01 08:41:00,0,0,0,0,0,0,-2.8052452290322303,-6.658376651904574,-38.64871396078984,0.00273220470068698,471.5,467.9,463.0,424.25
Café: Valorização do real consolida ganhos moderados nas bolsas internacionais no fechamento desta 6ª feira (28),2025-11-28 17:08:00,0,0,0,0,0,0,-4.530206716234867,-6.658376651904574,-38.86445507353653,0.00273220470068698,471.5,465.7,463.0,424.0
Região do Cerrado Mineiro leva cafés premiados ao mercado com leilão on-line nos dias 3 e 4 de dezembro,2025-11-28 13:51:00,0,0,0,0,0,0,-3.80068176285752,-6.356295628184457,-38.56997667362111,0.0026980183232687104,470.5,465.7,462.5,424.0
Preços do arábica operavam em campo misto em NY no início da tarde desta 6ª feira (28),2025-11-28 12:18:00,0,0,0,0,0,0,-3.378319754361895,-4.960273813699755,-37.85906566158468,0.0027205964455868526,470.0,465.7,463.7,424.0
"De olho no clima do Vietnã, preços do café robusta seguem voláteis na manhã desta 6ª feira (28)",2025-11-28 09:47:00,0,0,0,0,0,0,-7.219415651538352,-9.263544974176723,-41.469912455467245,0.0027388856661960293,475.0,465.7,463.1,424.0
