Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Limite_Dinamico;Num_Criterios;Criterio_Principal;Score_Confianca
2025-10-01 12:10:00;2025-Q4;445.49;445.63;441.14;442.83;21;-0.6;-3.27;7.01;4.3;Baixa;0.4;2;Amplitude Alta;100
2021-03-30 10:55:00;2021-Q1;123.83;123.83;123.05;123.05;16;-0.63;-4.42;7.13;2.9;Baixa;0.4;2;Amplitude Alta;100
2025-10-08 09:50:00;2025-Q4;442.06;446.36;442.06;444.81;63;0.62;3.17;5.94;5.7;Alta;0.4;2;Volume Alto;100
2025-10-10 12:00:00;2025-Q4;437.42;437.42;432.1;432.1;52;-1.22;-5.09;6.58;5.1;Baixa;0.4;3;Volume Alto;100
2025-08-27 10:40:00;2025-Q3;448.53;454.43;448.53;454.43;31;1.32;5.3;6.26;2.9;Alta;0.4;2;Amplitude Alta;100
2025-09-23 12:40:00;2025-Q3;416.3;416.3;412.77;412.77;83;-0.85;-4.64;5.54;7.0;Baixa;0.4;2;Volume Alto;100
2025-04-07 11:15:00;2025-Q2;399.25;404.97;399.25;403.09;34;0.96;3.99;6.96;3.5;Alta;0.4;2;Amplitude Alta;100
2025-04-23 10:45:00;2025-Q2;425.8;429.19;425.8;429.19;58;0.8;4.32;5.86;6.6;Alta;0.4;2;Volume Alto;100
2025-05-12 10:00:00;2025-Q2;426.99;426.99;423.33;423.33;36;-0.86;-4.68;8.32;4.0;Baixa;0.4;2;Amplitude Alta;100
2025-05-12 10:40:00;2025-Q2;423.05;423.05;419.03;419.12;37;-0.93;-5.67;9.21;5.0;Baixa;0.4;2;Amplitude Alta;100
2021-01-12 13:25:00;2021-Q1;118.27;118.27;117.12;117.16;13;-0.94;-5.57;8.46;2.8;Baixa;0.4;2;Amplitude Alta;100
2021-01-21 15:05:00;2021-Q1;123.61;124.21;123.61;124.21;4;0.49;4.52;7.98;1.4;Alta;0.4;2;Amplitude Alta;100
2021-01-29 10:35:00;2021-Q1;120.45;120.45;119.81;119.81;10;-0.53;-3.58;7.67;4.3;Baixa;0.4;2;Amplitude Alta;100
2021-02-04 12:40:00;2021-Q1;120.7;120.7;119.59;119.59;4;-0.92;-7.03;13.65;1.2;Baixa;0.4;2;Amplitude Alta;100
2021-02-17 14:20:00;2021-Q1;122.56;123.14;122.56;122.97;28;0.33;3.98;9.13;5.8;Neutro;0.4;3;Volume Alto;100
2021-02-22 14:20:00;2021-Q1;127.16;128.51;127.16;128.47;55;1.03;5.41;9.5;7.1;Alta;0.4;3;Volume Alto;100
